,initial_pos,no_of_pits,tyre_grid,tyre_1,tyre_2,tyre_grid_distance,tyre_1_distance,tyre_2_distance,sc,Temperature,Humidity,Altitude,Turns,RaceDistance,TrackLength,TeamAbility,DriverAbility,final_pos_gained
200,10.0,1.0,4.0,3.0,3.0,29.0,41.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,57.0,43.0,3.0
202,16.0,1.0,3.0,2.0,2.0,18.0,52.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,73.0,52.0,5.0
203,4.0,1.0,3.0,2.0,2.0,27.0,43.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,504.0,264.0,0.0
204,18.0,2.0,3.0,2.0,4.0,16.0,34.0,20.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,73.0,21.0,1.0
205,14.0,1.0,3.0,4.0,4.0,38.0,32.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,0.0,20.0,1.0
206,12.0,1.0,3.0,2.0,2.0,28.0,42.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,85.0,92.0,2.0
207,13.0,1.0,3.0,2.0,2.0,21.0,49.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,85.0,37.0,-2.0
208,11.0,1.0,3.0,4.0,4.0,36.0,34.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,91.0,37.0,-1.0
211,8.0,1.0,4.0,2.0,2.0,29.0,41.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,145.0,96.0,3.0
212,15.0,1.0,3.0,2.0,2.0,16.0,54.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,1.0,0.0,-1.0
213,2.0,2.0,3.0,2.0,3.0,5.0,41.0,24.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,739.0,326.0,-6.0
214,19.0,1.0,3.0,2.0,2.0,18.0,52.0,0.0,0.0,76.02,0.45,34.7,13.0,70.0,3.975,1.0,1.0,0.0
216,5.0,1.0,4.0,3.0,3.0,30.0,23.0,0.0,1.0,66.84,0.57,12.8,11.0,59.0,5.793,91.0,54.0,1.0
217,16.0,1.0,3.0,2.0,2.0,23.0,30.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,145.0,49.0,6.0
218,4.0,3.0,4.0,2.0,2.0,6.0,6.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,504.0,240.0,-9.0
219,20.0,2.0,3.0,3.0,4.0,19.0,7.0,27.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,57.0,43.0,5.0
220,13.0,2.0,4.0,3.0,4.0,7.0,22.0,24.0,1.0,66.84,0.57,12.8,11.0,59.0,5.793,0.0,8.0,-3.0
221,17.0,1.0,3.0,4.0,4.0,28.0,25.0,0.0,0.0,66.84,0.57,12.8,11.0,59.0,5.793,85.0,95.0,6.0
